"Article","Abstract"
"December 18, 2010","Anthropologist Eric Wolf sought to problematize the relationship between ideas and power (Wolf 1999); Ideas are more than mere mental constructs that allow for mental representations of the external world. Those very constructs that help us to understand the world, make the world. And in doing so, power is implicated. For Wolf structural power was fascinating and more importantly not completely understood. Moreover, such ideational power has led societies down paths of self-destruction resulting in great human suffering (Wolf 1999)."
"December 18, 2010","The paper discusses the impact of corruption on the probability of violent conflict events and traces the"
"December 18, 2010","This essay features on the global relevance of the political economy of the French political economist Paul Boccara from the viewpoint of quantitative international political economy. Our aim is to draw international attention to the fact that Boccara’s political economy is part and parcel of the wider French language debate on the instability of capitalism and the long economic cycles (Kondratiev cycles), which ranges, from the (former) Maoist Samir Amin to the Communist Boccara and the Trotskyst Ernest Mandel (1923-1995), and which is in good company of a wide variety of attempts to revive the debate on Kondratiev cycles (Devezas, 2006), which was a NATO Advanced Research Workshop on the influence of chance events and socioeconomic long waves in the new arena of asymmetric warfare in Covilhã, Portugal, 14–18 February 2005."
"December 18, 2010","In the aftermath of 11 September, Australia has committed itself to active participation in the 'war on terrorism'. In light of concerns expressed by the Australian government that terrorists might sometimes take the guise of asylum seekers, this article considers whether it is possible for Australia to reconcile its international protection obligations with the war on terrorism and if so how."
"December 18, 2010","The present article describes an empirical study that examined factors that affected parties’ willingness to consider an experimental alternative to litigation in media libel disputes. Parties’ interest in using the ADR program was influenced by their lawyers’ recommendations regarding the program, which were affected by the lawyers’ familiarity with and attitudes toward ADR. Parties’ motives and objectives for the litigation also affected their willingness to use the program. The stage of litigation also affected parties’ interest in the ADR program. Plaintiffs were most interested before they had filed suit; their interest declined as time passed after filing. Media organizations, however, were more interested after some discovery or other pretrial activity had occurred. Lawyers and parties in the few cases that used the alternative program had favorable assessments of the process and its efficiency. Lawyers felt that their discussions about the ADR program facilitated communication about the parties’ real interests. The authors conclude that if media organizations are interested in averting libel suits or in resolving them quickly and inexpensively, they need to take the initiative to propose the use of ADR early in the dispute."
"December 18, 2010","Australia presently has a practice of 'turning around' most unauthorised arrivals without giving them an opportunity to apply for a protection visa. The practice reflects a deliberate choice on the part of the Australian government not to implement Australia's international protection obligations in good faith. The choice is easily explicable in domestic political terms. However, it is not a rational choice for the nation in an era of globalisation. By contrast, a choice to implement Australia's international protection obligations in good faith would be a choice to take responsibility for remaking the world into the sort of place in which we would all prefer to live: a world governed by an international rule of law founded on universal moral principles. This article argues that active moral agency is a choice worth making."
"December 18, 2010","This paper examines, for the first time, the role of a special intelligence collection ship in the Russo-Japanese War of 1904-1905.  Other intelligence and information constructs are also examined."
"December 18, 2010","A justice system, and the processes located within it, ought to deliver justice. That seems simple enough. But, of course, delivering justice is never so simple. Justice and the systems that serve it are the creatures of context."
"December 18, 2010","The case of Western Sahara shows how the United Nations operate in the area of conflict resolution. In its efforts to reach an agreement, the United Nations are hostage to contrasting and multidimensional logics and interests which in turn make it very difficult to impose a settlement that is in accordance with international law."
"December 18, 2010","A growing number of uniformed military and government entities are practicing new military disciplines of cyber defense, including computer network defense, computer network exploitation, and computer network attack. This paper provides a practitoner's view of principles of operations in this emerging military domain."
"December 17, 2010","Peacekeeping has long been a central motif in Canadian foreign affairs discourse. For some, Canadian peacekeeping has taken form as a legend: a story anchored in history yet elevated to a higher narrative form through romanticism and nostalgia.  For others, Canada’s peacekeeping heritage is more akin to a myth: the personification of a poetic symbol or abstract ideal adapted to the capacity of a primitive people.  As Canada’s military engagement in Afghanistan draws to an end, debate concerning the role of peacekeeping in Canadian foreign affairs is sure to be rekindled. This article will take stock of this debate and explore the significance of the peacekeeping narrative to Canadian foreign policy beyond Afghanistan. It will be argued that academic discourse often overlooks the most important implication of this debate: that whether or not this narrative is well-founded, its lasting impact on Canada’s cultural imagination and enduring popular support deserve consideration in the formulation of Canadian foreign and defense policy."
"December 17, 2010","This article summarizes the findings of a study examining the effects of a rule requiring lawyers to confer with opposing counsel regarding settlement and ADR early in litigation and to report the results of that discussion to the court.  A comparison of civil litigators' practices before and after the rule was adopted showed no apparent increase in early ADR discussions or in early settlements, the rule's ultimate goal.  After the rule was adopted, lawyers did become more likely to discuss ADR at some point during the litigation, albeit not when prescribed by the rule.  Enforcing the requirement to report to the court did not seem to affect whether lawyers held early discussions, but did seem to increase the likelihood that lawyers filed that report."
"December 17, 2010","The 1909 Boundary Waters Treaty (Treaty) is a model of, international water resources cooperation because it provides a permanent dispute mechanism, the six member International Joint Commission (IJC). Thus, both Canada and the United States have much to celebrate on the 100th anniversary of the Treaty. However, the most interesting aspect of the Treaty is the regime's ability to evolve through state practice beyond its original dispute resolution function, despite the inconsistent support for IJC involvement in transboundary water issues of the United States. The Treaty has been severely criticized by governments and non-governmental organizations (NGOs), especially in, Canada, for its limitations. Taking the Great Lakes alone, the area is too large and the resource management issues too complex to permit a single governance regime. Nonetheless, the LTC has been able to use the reference process to adapt ""the spirit of the Treaty"" to the new resource challenges, primarily environmental, that the Great Lakes face. This Article offers an example of the power of the IJC to overcome the Treaty's limitations by using its status as an international body to constructively influence the development of a new and important Great Lakes-management regime outside of the Treaty framework."
"December 17, 2010","This article summarizes the findings of an empirical study that examined the usefulness of attorneys’ assessments of mediator skillfulness as a method for monitoring mediator performance.  Attorneys who had participated in federal appellate civil mediation rated the mediator's skillfulness on seven dimensions as part of a larger questionnaire about their mediation experience.  Attorneys gave some of the mediators higher skillfulness ratings than other mediators, and rated individual mediators as more skillful on some dimensions than on other dimensions.  These findings indicate that the attorneys' assessments were sufficiently discriminating and nuanced to reveal differences among the different mediators and among the different skills each mediator possessed. Importantly, the ratings did not simply mirror whether settlement or other favorable outcomes were achieved in mediation. Taken together, these findings suggest that participant assessments could provide an effective means for monitoring mediator performance."
"December 17, 2010","Water lawyers, courts, and others in the water community are fond of quoting the quip attributed to Mark Twain, ""whiskey is for drinking and water is for fighting over."" Not only is there no evidence that Twain ever uttered these words, but the quote has taken on a life of its own which grossly distorts the nature of water competition disputes, especially state to state competition. Both whiskey and water are for human benefit and exist in sufficient quantities throughout the world to satisfy present and future demand. Meeting these demands will be challenging because water must be managed to counter the problems of mal-distribution in certain places. Nonetheless, the idea that water conflict can and will lead to violence is so powerful that the term ""war"" is often applied to intense but nonviolent conflicts over the use of water.  The war metaphor implies that water conflicts are irresolvable unless one party totally prevails over the other. In reality, water violence happens; when it does, it is generally localized, although water facilities have been military targets. This said, many water disputes, especially international ones, simmer unresolved for decades.  Festering disputes are cause for concern because the ultimate driver in many water conflicts, both peaceful and potentially violent, is the fear of drought."
"December 16, 2010","The libel litigation system does not efficiently or effectively resolve media libel disputes.  Protracted and expensive litigation neither restores plaintiffs’ reputations nor protects media defendants from intrusive discovery and potentially large damage awards.  This article demonstrates how research on the characteristics of the libel litigation process and the interests and concerns of the disputants was synthesized with research on dispute resolution processes to develop an alternative process for resolving libel disputes outside the courts.  The article discusses the potential feasibility of the voluntary, nonlitigation alternative program, informed by research on dispute processing and libel litigation.  An evaluation of the program is being conducted to examine attorney's and parties’ reactions to the program and to assess the extent to which the program provides effective solutions to the problems of the libel litigation system."
"December 16, 2010","This paper looks at the dynamics of drug violence through a property rights lens, building on the work of Alson, Libecap and Mueller on land conflict in the Amazon. In the Americas, high levels of violence are concentrated in dysfunctional drug frontiers, i.e. in areas that have the following characteristics: the drug rent is large relative to the size of the local economy; the state's repressive capabilities are relatively limited; and local competition over the drug rent is poorly self-regulated. These dysfunctional drug frontiers move around, as the value of drug rents in particular areas changes; as state repression's incentives, capabilities and/or effectiveness change over time, increasing the cost of rent capture in particular areas, and decreasing it in others; and as the quality of the self-regulation of local competition over the drug rent gets better over time in some places, and worse in others."
"December 16, 2010","We lack consensus regarding who lawfully may be held in military custody in the contexts that matter most to U.S. national security today - i.e., counter-terrorism and counterinsurgency. More to the point, federal judges lack consensus on this question. They have grappled with it periodically since 2002, and for the past three years have dealt with it continually in connection with the flood of habeas corpus litigation arising out of Guantanamo in the aftermath of the Supreme Court‘s 2008 decision in Boumediene v. Bush. Unfortunately, the resulting detention jurisprudence is shot through with disagreement on points large and small, leaving the precise boundaries of the government‘s detention authority unclear."
"December 15, 2010","Our experimental analysis of alliances in conflicts leads to three main findings. First, even in the absence of repeated interaction, direct contact or communication, free-riding among alliance members is far less pronounced than what would be expected from non-cooperative theory. Second, this possible solidarity among `brothers in arms' when fighting against an outside enemy may rapidly deteriorate or disappear as soon as the outside enemy disappears. Third, when fighting an outside enemy, `brothers in arms' may already anticipate future internal conflict about dividing the spoils of winning; however, this subsequent internal conflict does not discourage alliance members from expending much effort in the contest against the external enemy."
"December 15, 2010","By extensively drawing on existing judicial practice, this chapter argues that the relationship between human rights and the immunities of States and IOs may be conceptualized as a tension among competing rules which can be worked out by means of interpretation, thus as an apparent conflict of norms open to the application of conflict avoidance techniques."
"December 15, 2010","A man sets himself on fire in front of the White House in a dispute with the Federal Bureau of Investigation (FBI). He has been working as an informant for the FBI in a high-profile terrorism prosecution and is unhappy with the $100,000 he has been paid so far. He has also been recently convicted of bank fraud. As a result, the government declines to call him as a witness, given the damage his actions have on his credibility and trustworthiness. This incident underscores the difficulty inherent in relying on paid informants to drive a prosecution, where material considerations such as money and legal assistance are often the price the government pays for an informant’s services. In the years since September 11, 2001, informants have been at the heart of many major terrorism prosecutions. The entrapment defense, perhaps the only legal tool available to defendants in such prosecutions, has proven ineffective. This is evident when one considers the context of generally heightened suspicion of the Arab and Muslim communities in the United States. Further, a closer look at several of these prosecutions reveals repeated instances of suggestive and provocative activity by informants geared at obtaining a conviction, calling into question whether a genuine threat to U.S. national security actually existed in the first place. This Article argues that the government should cease its current practice of using informants to generate terrorism prosecutions."
"December 14, 2010","Given the growing importance of terrorism in today’s world, it is essential to understand its impact on the global economy. This paper examines the case of Israel to consider the impact of this phenomenon on the nation’s economy. Specifically, it will aim to determine whether the Israeli financial market is sensitive to terror attack, how sensitive are the various sectors of the Israeli financial markets and whether sectors react differently from one another."
"December 14, 2010","Global governance rests on the exercise of public authority by a myriad of actors. In the international order, the more powers and influence these actors acquire, the more their legitimacy proves to be controversial. It is submitted here that the legitimacy of international, regional, and domestic actors that partake in global governance - those considered here as global actors - must be appraised from a two-fold standpoint. Their legitimacy can first be gauged through the lens of the origin of their powers. This is what this Article calls the legitimacy of origin. The origin of the power may often prove an insufficient indicator of an actor’s legitimacy. For this reason, legitimacy is also evaluated in light of the way in which the actor exercises its power. This is what this Article calls the legitimacy of exercise. This Article is based on the assumption that failing to recognize this dual character of legitimacy of actors involved in global and regional governance can undermine any endeavor to grasp the contemporary complexity of the latter."
"December 14, 2010","This article examines the increasingly local impact of gaps in the accountability regime governing the activities of the United Nations. More in particular, the article looks at the accountability deficit of the UN administration of Kosovo in terms of its impact on the local legal order, as designed by United Nations Security Council Resolution 1244 (1999). Part I sets out the main premises which shape the peculiar legal order in Kosovo. Part II goes on to describe how accountability of the United Nations administration is regulated and considers the insufficiencies of the accountability regime. Part III introduces the Human Rights Advisory Panel, a sui generis body established with the aim to improve the accountability record of the United Nations mission in Kosovo. Maine institutional and procedural features are discussed. Finally, Part IV reflects on the strained relationship between the United Nations administration and the Human Rights Advisory Panel and the ultimate demise of the human rights oversight body. The article concludes with some final observations regarding the adverse effects of the described developments, on the ground and with respect to the United Nations in general."
"December 14, 2010","Ethical codes for mediators describe party self-determination as “the fundamental principle of mediation,” regardless of the context within which the mediation is occurring. The definition of self-determination, however, is a matter of dispute. Based on a review of the debate surrounding the promulgation and revision of ethical codes for court-connected mediators in Florida and Minnesota, this Article demonstrates that a vision of self-determination anchored in party-centered empowerment is yielding to a vision that is more reflective of the norms and traditional practices of lawyers and judges, as well as the courts’ strong orientation to efficiency and closure of cases through settlement.  Disputing parties are still responsible for making the final decision regarding settlement, but they are cast in the role of consumers, largely limited to selecting from among the settlement options developed by their attorneys. Indeed, it is the parties’ attorneys, often aided by mediators who are also attorneys, who assume responsibility for actively and directly participating in the mediation process, invoking the substantive (i.e., legal) norms to be applied and creating settlement options."
"December 13, 2010","This article reports findings from an empirical study of Settlement Week mediation in four general civil trial courts.  Nearly all parties and lawyers had favorable assessments of the mediation process, the mediator and, in cases that settled, the agreement. The only mediator qualification that increased the likelihood of settlement was the mediators' level of mediation experience.  The mediators' hours of training, years in law practice, and expertise in the subject matter of the case were not related to settlement.  Although the mediators' recommending a particular resolution increased the likelihood of settlement, it did so at the expense of parties' perceptions of fairness.  Findings regarding the effect of other mediator qualifications and actions on settlement and on participants' assessments are also discussed."
"December 13, 2010","In investor-state arbitration, tribunals can and should apply the English rule on legal costs and abandon the two alternatives, the American rule and the pro-claimant rule.  Under the English rule, the unsuccessful party in a dispute must indemnify the prevailing party for the costs of dispute resolution.  Both doctrine and public policy support the application of the English rule, particularly in light of the much-publicized backlash against the investor-state arbitration system.  Most importantly, the English rule would help to mitigate the two most commonly identified causes of the backlash — the system’s alleged proinvestor bias and its chilling effect on host states’ legitimate use of police power.  Though a slowly growing number of tribunals have either followed or purported to follow the English rule, the doctrine and policies that justify applying it have so far been either poorly articulated or ignored.  This Note presents those justifications in detail for the first time."
"December 13, 2010","The armed conflict in Colombia has left over 3,3 million displaced persons seeking refuge in the cities. Studies on displacement in Colombia have focused on examining the losses that this crime inflicts on the victims, but have made little progress on analyzing its effects on the standard of living of the receiving communities. This study uses impact evaluation techniques to assess the effects of displacement on populations living in strata 1 and 2 areas in Pasto, Nariño. The findings indicate that displacement has mixed effects on the living conditions of the receiving communities. Although there are negative effects in terms of security and food security, there have been positive effects on trust and social infrastructure. This indicates that while the displaced population generates tension in the receiving communities, it also provides solutions to historical social problems, such as lack of education and health infrastructure."
"December 13, 2010","This article examines the role of religion and the Vatican in resolving the Beagle Channel dispute between Argentina and Chile in the late 1970s."
"December 13, 2010","In situations of conflict, decision making procedures often play a highly symbolic role. Inclusive procedures that share decision making power foster cooperation, regardless of the actual decisions that are the outcome of such procedures. This paper develops a formal model of such procedural effects in the context of post-war state-building. I show that the degree to which power is delegated to local authorities increases the occupier's legitimacy because it is a signal of her benevolent motives. This means that delegation increases cooperation with the occupiers, regardless of the actual decisions taken. The model predicts that the strength of the procedural effect depends on the amount of uncertainty, the degree of mutual dependence of occupiers and occupied and the size of the conflict of interest between the occupier and the population."
"December 13, 2010","In this essay, I argue that monist political philosophers such as John Rawls fail to take politics seriously enough. The reason is that they treat it as if it were, or could be, like a game. I begin by showing why we consider games as frivolous and then assert that Rawls’ theory of justice is more than merely analogous to a game, as Rawls himself seems to suggest, but is in fact a kind of game. Conceiving of justice in this way is then shown to be harmful to political practice both as regards the citizens who participate directly in it and those who do no more than follow it. Similar harms, it is then argued, come from taking politics too seriously, which I claim is the attitude of pluralist political philosophers such as Isaiah Berlin. To them, the plural, incommensurable nature of values means that they cannot be reconciled and so that politics must be a matter of negotiating dirty, and often tragic, compromises. What we need instead, I thus conclude, is a third way, one which is neither monist nor pluralist."
"December 13, 2010","In this essay, I argue that just war theory − as advanced, in particular, by Michael Walzer − fails to take war seriously enough. This is because it proposes that we regulate war with systematic rules that are comparable to those of a game. Three types of claims are advanced. The first is phenomenological: that just war theory’s abstract nature interferes with our judgment of what is, and should be, taking place. The second is meta-ethical: that the rules of just war theory are not, in fact, systematic after all, there being inherent contradictions between them. And the third is practical: that by getting people to view war as a game it encourages its “aestheticization” (play being a central mode of the aesthetic) with the result that those who fight wars get encouraged to act in dangerous ways. And war, it goes without saying, is already dangerous enough."
"December 13, 2010","This article reports the findings of empirical studies that examined the effects of mandatory mediation in small claims and general civil cases. The article begins with a discussion of the factors that led to the adoption of mandatory mediation and concerns that have been raised about its use. The studies compared cases that were required to use mediation and cases that voluntarily chose mediation in terms of the outcomes of mediation and party and attorney perceptions of the process, the mediator, and the outcome.  Settlement rates were somewhat lower when mediation was mandatory than when both parties chose to mediate, with intermediate settlement rates when only one party requested mediation.  Among cases that settled, there were no differences in the outcome or in parties' assessments of the agreement or compliance with it.  There were few differences between mandatory and voluntary mediation in parties' perceptions of the mediation process and the mediator."
